wtf,0
was that,0
ZeMorphAlt y u hit on 14yr old,1
good boy,0
thats a g move,0
kys,1
kid u need to kys,1
kys man,1
kys dude,1
I hope you kys,1
younger the better,1
dont u mean h,0
im underage anywya,0
i stop at 14,1
woah to far,0
wazde NO NO NO,0
this is going to far,0
i am the king so chill out my :),0
us flag,0
ynA7jvv1szLHnSho,0
i like that 1,0
tbh im the king of rac,1
races,0
no way tons of gays be joining this server :,1
not,0
u,0
wait guys we cant be racist :( new players are joining,0
Ojnhawtij;koetl;dklj;nesar,0
RAPe :(,1
ss of u raping me ?,1
SirBot1 wat happened to day and cg and furry,0
woah calm down vazz,0
lava bucket,0
guys del ur messages in #media,0
so sky doesnt fire me,0
nahh you all finna get me fired,0
wat items,0
i broke to,0
i get u diam pic?,0
SirBot1 shut these kids down plz,1
i abt to get fak-ed,1
wait nvm idc pepeshrug,0
i cant get ban :pepeshrug: at most mute,0
+ im not harming any1,0
= not breaking rules,0
vazz i give u neth ingot to stop doing this?,0
to late for that,0
ppl canceled me b4,0
me abt to pull up the recording of vc,0
dk the recording says diff,0
my gf is a ai,0
no i got new1,0
vazz ill give u a ai gf if u stop pepeshrug,0
discord crashed,0
SirBot1 do u think i broke the rules,0
woah ZeMorphAlt 5k to stop,0
i sent this to sky,0
Yo you should def ignore what the boys are saying its all out of context + it is just us on rn we are playing :NM_peepoShrugSmile:,0
5k given to ZeMorphAlt,0
./shop,0
ores,0
items,0
ZeMorphAlt i give u totem?,0
tpa ze,0
vazz tpa for totems,0
my ai girlfriend?,0
pepe,0
its abt wat it is to u,0
crafting table,0
plank,0
oak plank,0
wood planks,0
ima take a shower,0
sending ss to sky rn,0
u diddnt gear me D:,0
tbh im broker then sirme,0
so wat do u wnt out of me,0
u got full neth,0
thats why my rich ends lad,0
i can give a neth ingot tbh,0
you got 220k you could legit buy neth,0
woah who told you that,0
SirBot1,0
mando dms,0
kk,0
a neth ingot + a good pic vazz,0
wyt abt that,0
come back into the call,0
it take shower first tbh,0
dont execpt to be able to enter the server back later,0
#cancelmando,0
i cant type j-o-i-n,0
goddamn the savannah biomesucks,1
dsFopUdsClsK RosIlkdCdfK,0
Gzvwfaksnovjygp,0
i got nothing,0
waste of time,0
So mando,0
come into the call. or we send the ss's,1
94yzr6olhbz9s4p,0
local,0
coal,0
you all cannot talk abt me being racist when your saying that,1
piston,0
piano,0
y dont we all troll tom by saying his full name home address and send him a video i have of him,1
farmer will drop it to every1,0
gear me or ss's sent to sky,1
woah clam down,0
which ss u talkibng abt ?,0
wat if i just give,0
her,0
rrecording of vc,0
+ tell her wat time to read logs,0
to c full context of everything,0
then she see how u try to blakmail,1
did i say anything wrong ?,0
you said many things. that were wrong out of context,0
tbh im asking sirbot,0
wade som1 random watching ur stream :,0
i hate,0
watermelon eaters,0
dragon,0
woah clam down kid,0
that's kinda racist :,1
FarmerWade,0
yk som1 random be watching ur stream :,0
fortnite abt to get down,0
250,0
260,0
FarmerWade play wat,0
u said it,0
so u do it,0
hello new people,0
!hello,0
finish in,0
i love linus tech tips,0
hail the us flag,1
vazz chill,0
fax,0
hi heed,0
sky said to fix it sirme,0
diamon d,0
eye,0
HEY HEED,0
hello sky,0
i also hax,0
194 lvlvs,0
gold,0
gold blocks,0
white 1,0
y not sky,0
rn is ok,0
wha,0
freeze command works?,0
try it on me,0
but dont undo it,0
it wasnt meant for u sky,0
wade is on the same page w/ it SirBot1,0
If it wasnt for shadow,0
bad sirme,0
uh oh,0
nop they dont sirme,0
so u bad for it,0
i meant to tp sirbot,0
WADE,0
WHT,0
Itzz_Skyy is it the ZeMorphAlt guy,0
he meant to do it,0
they in privb vc,0
priv*,0
im trying to tell him to get out,0
oh yesss,0
gl throughs the tunnels,0
me asf w/ 35 new netherite ingots,0
wade u showing him around,0
the tunnles,0
tunnles,0
saving these coordinates,0
sky plz plz dont sell them to shop,0
the price is aids,1
guardian,0
guardians,0
who tf is watching south park on vc,1
??,0
hes grieving,0
tbh it best show,0
FarmerWade is greiving,0
follow me ze,0
WADE MADE THIS,0
ZeMorphAlt = henny friend = will kill u,1
L redstone ngl,1
4 tick redstone door :skull:,0
im lost,0
wow 2 mandos,0
smash,0
n o,0
i have learned,0
ye s,0
no u cant sirme,0
its 160k,0
yeah i have the money to buy like 2 stacks,0
+ i have 35 more in my ender chest,0
SirBot1 shadow didnt make it lmao,0
y not,0
SirBot1 how dare u speak abt me like that,0
i send u to noot noot,0
sky we have been over this smh,0
i hafvge to pee,0
my mouth is open,0
.,0
bro couldnt handle my rizz,0
potion,0
sky he is like 17,0
and wade is 14,0
Zemorphalt ur not 13 you dumb ass,0
how do i sell blocks?,0
i forgot,0
ZeMorphAlt wants to be pack god tbh,0
peace,0
ZeMorphAlt so u would buy a unban ?,0
if u got a ban,0
sky ban ZeMorphAlt he will buy a unban,0
he said the hard r,1
he said he hates jews,1
Woah calm down Jamal,0
chaosz — Today at 10:54 PM NO U are Retarded :,1
196 lvls,0
south park,0
the best show ever,0
= best,0
its best,0
tbh ur friend is watching the best ep of the show rn sky,0
ah ur family is watching best ep then,0
he just leaves,0
no way 9 full chest of totems,0
selling totems,0
to ppl,0
there is 1 r u not smart,1
Yes i did,0
and there is 1,0
-30,0
260k,0
YEs,0
yes*,0
not like any1 will buy them,0
./ban should be w/ max rank,0
sky why dont u give ranks the command /seen,0
do it w/ ZeMorphAlt name,0
HAHA,0
bro typed it,0
Me want /seen,0
sky did you know if u type /lp user mando135790 permission set minecraft:op true,0
u will get cookies,0
no reason not to pepeshrug,0
lvl 198,0
my gun,0
to gun kids down and get more,0
BOYS,0
i hit 72 subs,0
where anyone? i dont like being alone,0
3 subs in 1 day,0
go mando,0
nop ur voice over bad,0
or not jk,0
you can tp to people by typing /tpa user,0
it sound like u slep :/,0
it was off of one video,0
the mew 1 was best,0
bc his voice,0
it did gud on yt pepeshrug,0
i just threw out 40 totems bc no space,0
cartmen,0
i would do the same,0
140,0
i would fake being transginger for my own bath room,1
no sky,0
Yes,0
for like 300 each,0
not to much,0
bc then it gets op,0
nvm like 150 each,0
well it also takes 4hrs to make 1,0
u dont get many totems,0
like 5hrs,0
LVL 199,0
Use code sugma,1
Use code 'SUGMA' for 90% off all our ranks crates and land claim blocks…,1
Code sugma,1
if i give out items mr guardian gets mad at me,0
lvl 200 :D,0
rip i didnt get it first,0
220,0
ZeMorphAlt did ur parents leave u,1
ZeMorphAlt bro is abt to break rules on a staffs base,0
285k,0
first to 300k?,0
first to 1m?,0
first to 2m?,0
first to 30m,0
BET sky,0
i will have it by tmr,0
just add that onto the rank i have it tbh,0
so i can have such a long rank,0
Itzz_Skyy are u turning down new players?,0
base looks mid,1
yes she is,0
make ur whole family playy,0
= more player,0
fair enough sky,0
i just got roasted so hard,0
u say people keep young kids away from me,1
= a big roast :,0
140k per hr x 8hrs,0
= over 1m,0
r raid farms allowed,0
nope :(,0
bc they lag the server,0
i think shadow should just do his job and fix lag,0
i fr spent 3hrs making 1,0
just for him to cut it out of the world,0
saying not allowed,0
n o i didnt,0
i forgor the 1s i made,0
i made 1 saying how ur short,0
and shadow wouldnt put it,0
:(,0
i can say any word,0
try me,0
any word,0
pick a aword i can say it,0
i would say it if i could,0
wade ur not,0
ur gey pepeshrug,1
nop it not that sky,0
its abt being christian,0
sky did u c shadows new wife rick?,0
yeye,0
its a ai,0
ask him abt it,0
then his ai left him,0
then got bak together,0
120,0
ZeMorphAlt tell ur girl to shut the hell up,1
woah calm down wade,0
SIMP,1
wade is gay ZeMorphAlt :,0
so prob not a simp,0
he has a bf,0
i did pepeshrug,0
nop,0
11 at night smh,0
still playing mc,0
tbh sky needs to be up for the event,0
bc shadow wont,0
Sotne,0
Stone,0
arson,0
break up w/ ur gf for 10k ZeMorphAlt,0
300k :),0
sky y dont u go to sleep,0
madno\,0
